Feature,Importance
pga_shakemap,0.17202682004479228
sa1s_shakemap,0.15893861177366608
year_built,0.1407368614909653
latitude,0.13477404227870352
num_spans,0.12603297778634326
longitude,0.1259010679186733
hwb_class_enc,0.09574587868993037
design_era_enc,0.045843740016925975
