Structure_ID,Latitude,Longitude,HWB_Class,Year_Built,Design_Era,Sa_1s_g,Observed_DS,Obs_Repair_Category,RF_DS,RF_Repair_Category,RF_Repair_Action,RF_Priority,MLP_DS,MLP_Repair_Category,MLP_Repair_Action,MLP_Priority,RF_Correct,MLP_Correct
53 1625,34.42333333,-118.5816667,HWB4,1964,conventional,1.014,none,Safe,extensive,Needs Closure,Close bridge — repair now,3,none,Safe,No action needed,0,0,1
53 2396,34.27666667,-118.4966667,HWB6,1976,seismic,1.202,extensive,Needs Closure,extensive,Needs Closure,Close bridge — repair now,3,extensive,Needs Closure,Close bridge — repair now,3,1,1
53 1424,34.08166667,-118.225,HWB3,1962,conventional,0.2045,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,1,1
53 0730,34.31666667,-118.4883333,HWB6,1975,seismic,1.197,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,1,1
53 2207,34.26666667,-118.4833333,HWB4,1976,seismic,1.224,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,1,1
53 2395,34.27666667,-118.5,HWB6,1976,seismic,1.202,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,1,1
53 1078,34.27666667,-118.4533333,HWB7,1971,conventional,0.9942,none,Safe,moderate,Needs Repair,Plan repair — 6 months,2,none,Safe,No action needed,0,0,1
53 2208,34.26666667,-118.48,HWB4,1977,seismic,1.224,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,complete,Needs Replacement,Close bridge — replace,4,1,0
53 2209,34.26666667,-118.475,HWB8,1977,seismic,1.224,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,1,1
53 0739,34.12666667,-118.4733333,HWB5,1959,conventional,0.593,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,1,1
